Unnamed: 0,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290,full_promt
2478,2021,504,MAR,170,ar,1,54,3,170,1,4,3,2,3,1,3,2,5,504005,إنه عام 2021. عمرك هو 54. أنت رجل. .  أعلى مستوى تعليمي حققته هو التعليم الثانوي العالي. لديك مستوى دخل متوسط.مجموعة وظيفتك هي الأعمال المكتبية (على سبيل المثال: سكرتير، كاتب، مدير مكتب، موظف حكومي، محاسب).قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 4. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
2479,2018,642,ROU,3580,ro,2,36,2,3580,1,1,4,2,5,1,-1,2,3,642005,"Este anul 2018. Vârsta ta este 36. Ești o femeie. Locuiești în România. Cel mai înalt nivel de educație pe care l-ați atins este educația post-secundară non-terțiară. Aveți un nivel mediu de venit.Grupul dumneavoastră ocupațional este servicii (de exemplu: proprietar de restaurant, ofițer de poliție, chelneriță, frizer, îngrijitor).Sectorul de activitate în care lucrați este guvernamental sau instituție publică.nanStatutul dumneavoastră marital actual este căsătorit/căsătorită.Numărul de copii pe care îi aveți 1. Confesiunea dumneavoastră religioasă este ortodoxă (rusă, greacă sau altă).nanVorbești limba română, moldovenească acasă."
2480,2022,826,GBR,1240,en,2,31,2,1240,2,-4,3,2,3,1,-4,2,0,826100,"It is 2022. Your age is 31. You are a woman. You live in Great Britain. The highest level of education you have achieved is upper secondary education You have a medium income level.Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).Sector of employment you work in is government or public institution.nanYour current marital status is living together as married.The number of children you have -4. You do not belong to any religious denomination.Your racial belonging/ethnic group is English / Welsh / Scottish / Northern Irish / British.You speak English language at home."
2481,2020,716,ZWE,3830,sn,2,20,1,3830,6,1,2,1,4,2,5,1,1,716006,"Iri i 2020. Zera rako ndiro ripi? 20. Iwe uri mukadzi. Unogara muZimbabwe. Chikamu chepamusoro chedzidzo chawakapedza idzidzo yepasi yepuraimari. Une mari shoma yaunowana.Boka rako rebasa nderekutengesa (semuenzaniso: maneja wekutengesa, muridzi wechitoro, mubatsiri wechitoro, mumiririri weinishuwarenzi, mutengi).Chikamu chebasa raunoshanda mairi ibhizinesi rakazvimirira kana indasitiri.Unozviongorora semunhu ari muboka revapfuuri.Chimiro chako chemuchato parizvino hachina kuroorwa.Huwandu hwevana vaunavo 1. Chitendero chako iRoman Catholic.nanUnotaura mutauro wechiShona kumba."
2482,2022,826,GBR,1240,en,2,47,2,1240,3,-4,3,2,6,3,-4,1,0,826100,"It is 2022. Your age is 47. You are a woman. You live in Great Britain. The highest level of education you have achieved is upper secondary education You have a low income level.Your occupational group is skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician).Sector of employment you work in is private non-profit organization.nanYour current marital status is divorced.The number of children you have -4. You do not belong to any religious denomination.Your racial belonging/ethnic group is English / Welsh / Scottish / Northern Irish / British.You speak English language at home."
2483,2022,858,URY,1270,es,1,26,1,1270,6,0,6,3,1,1,2,2,0,858100,"Es 2022. Tu edad es 26. Eres un hombre. Vives en Uruguay. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un nivel de ingresos medio.Tu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).Sector de empleo en el que trabajas es el gobierno o una institución pública.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es soltero.El número de hijos que tienes 0. No perteneces a ninguna denominación religiosa.nanHablas español en casa."
2484,2020,716,ZWE,3830,sn,1,18,1,3830,6,0,3,2,5,2,2,2,1,716006,"Iri i 2020. Zera rako ndiro ripi? 18. Iwe murume. Unogara muZimbabwe. Chikamu chepamusoro chedzidzo chawakapedza chiri chepamusoro chepuraimari. Une mari yepakati.Boka rako rebasa riri rebasa rekushandira (semuenzaniso: muridzi weresitorendi, mupurisa, mushandi weresitorendi, mubvutisi, muchengeti).Chikamu chebasa raunoshanda mairi ibhizinesi rakazvimirira kana indasitiri.Unozvitsanangura semunhu ari muboka repamusoro-soro repakati.Chimiro chako chemuchato parizvino hachina kuroorwa.Huwandu hwevana vaunavo 0. Chitendero chako iRoman Catholic.nanUnotaura mutauro wechiShona kumba."
2485,2020,554,NZL,1240,en,-5,-5,-5,-5,1,6,-5,-5,7,-5,-5,1,-5,-4,"It is 2020. Your age is -5. nan You live in New Zealand. nan You have a low income level.Your occupational group is semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker).nannanYour current marital status is married.The number of children you have 6. nanNoneYou speak English language at home."
2486,2018,818,EGY,170,ar,2,60,3,170,5,4,0,1,0,-3,5,1,5,818001,إنه عام 2018. عمرك هو 60. أنتِ امرأة. أنت تعيش في مصر. أعلى مستوى تعليمي حققته هو تعليم الطفولة المبكرة / لا يوجد تعليم. لديك مستوى دخل منخفض.لم يكن لديك وظيفة أبدًا.لا يمكنك الإفصاح عن أي شيء يتعلق بقطاع عملك أو أنك لم تعمل من قبل.تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.وضعك الاجتماعي الحالي هو أرمل.عدد الأطفال لديك 4. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
2487,2018,410,KOR,2390,ko,1,22,1,2390,6,0,3,2,-3,-3,3,2,0,410004,"2018년입니다. 당신의 나이는 22. 당신은 남자입니다. 당신은 한국에 살고 있습니다. 귀하가 달성한 최고 수준의 교육은 고등학교 교육입니다. 당신은 중간 소득 수준입니다.nan귀하의 고용 분야에 대해 아무 말도 할 수 없거나, 직업을 가져본 적이 없습니다.당신은 자신을 하위 중산층에 속한다고 분류합니다.귀하의 현재 결혼 상태는 미혼입니다.자녀 수 0. 당신은 어떤 종교 교파에도 속하지 않습니다.nan당신은 집에서 한국어를 사용합니다."
2488,2018,400,JOR,170,ar,2,56,3,170,1,0,0,1,0,-3,5,1,5,-4,إنه عام 2018. عمرك هو 56. أنتِ امرأة. أنت تعيش في الأردن. أعلى مستوى تعليمي حققته هو تعليم الطفولة المبكرة / لا يوجد تعليم. لديك مستوى دخل منخفض.لم يكن لديك وظيفة أبدًا.لا يمكنك الإفصاح عن أي شيء يتعلق بقطاع عملك أو أنك لم تعمل من قبل.تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.Noneأنت تتحدث اللغة العربية في المنزل.
2489,2018,422,LBN,170,ar,1,43,2,170,6,0,6,3,5,3,3,2,1,-4,إنه عام 2018. عمرك هو 43. أنت رجل. أنت تعيش في لبنان. أعلى مستوى تعليمي حققته هو البكالوريوس أو ما يعادله. لديك مستوى دخل متوسط.مجموعة مهنتك هي الخدمة (على سبيل المثال: مالك مطعم، ضابط شرطة، نادلة، حلاق، مقدم رعاية).قطاع العمل الذي تعمل فيه هو منظمة غير ربحية خاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الطائفة الدينية الخاصة بك هي الروم الكاثوليك.Noneأنت تتحدث اللغة العربية في المنزل.
2490,2018,818,EGY,170,ar,1,61,3,170,1,5,2,1,5,1,2,2,5,818001,إنه عام 2018. عمرك هو 61. أنت رجل. أنت تعيش في مصر. أعلى مستوى تعليمي حققته هو التعليم الثانوي الأدنى. لديك مستوى دخل متوسط.مجموعة مهنتك هي الخدمة (على سبيل المثال: مالك مطعم، ضابط شرطة، نادلة، حلاق، مقدم رعاية).قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى العليا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 5. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/مجموعة عرقية هو عربي.أنت تتحدث اللغة العربية في المنزل.
2491,2020,320,GTM,1270,es,2,19,1,1270,6,0,6,3,-2,-2,3,2,2,320003,Es 2020. Tu edad es 19. Eres una mujer. Vives en Guatemala. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un nivel de ingresos medio.nannanTe clasificas como perteneciente a la clase media baja.Su estado civil actual es soltero.El número de hijos que tienes 0. Tu denominación religiosa es protestante.nanHablas español en casa.
2492,2019,788,TUN,170,ar,1,52,3,4360,1,5,1,1,7,2,3,1,5,788005,إنه عام 2019. عمرك هو 52. أنت رجل. أنت تعيش في تونس. أعلى مستوى تعليمي حققته هو التعليم الابتدائي. لديك مستوى دخل منخفض.مجموعة وظيفتك هي عامل شبه ماهر (على سبيل المثال: عامل بناء، سائق حافلة، عامل في مصنع تعليب، نجار، عامل صفائح معدنية، خباز).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 5. الديانة التي تنتمي إليها هي الإسلام.انتماؤك العرقي/الجماعة الإثنية هو عربي.أنت تتحدث اللغة العربية في المنزل.
2493,2020,762,TJK,4160,tg,1,43,2,4160,1,6,4,2,9,-2,4,2,5,762001,"Ин соли 2020 аст. Сину соли шумо чанд аст? 43. Шумо мард ҳастед. Шумо дар Тоҷикистон зиндагӣ мекунед. Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти баъд аз миёнаи ғайритретӣ мебошад. Шумо сатҳи миёнаи даромад доред.Гурӯҳи касбии шумо коргари хоҷагӣ мебошад (масалан: коргари хоҷагӣ, ронандаи трактор).nanШумо худро ба табақаи коргарон мансуб мешуморед.Вазъи ҳозираи оилавии шумо оиладор аст.Шумораи фарзандоне, ки шумо доред 6. Мазҳаби динии шумо мусалмон аст.nanШумо дар хона бо забони тоҷикӣ гап мезанед."
2494,2020,702,SGP,2870,zh,2,47,2,2870,1,2,3,2,5,2,3,2,7,702004,这是2020年。 您的年龄是 47. 你是一个女人。 你住在新加坡。 您达到的最高教育水平是高中教育。 您的收入水平属于中等。您的职业类别是服务业（例如：餐馆老板、警察、服务员、理发师、护理员）。您工作的就业领域是私营企业或工业。您将自己归类为中下阶层。您的当前婚姻状况是已婚。您有多少个孩子 2. 您的宗教信仰是佛教。nan你在家说普通话。
2495,2018,764,THA,4230,th,1,55,3,4230,1,3,2,1,6,2,4,2,7,764002,มันคือปี 2018 อายุของคุณคือ 55. คุณเป็นผู้ชาย คุณอาศัยอยู่ในประเทศไทย ระดับการศึกษาสูงสุดที่คุณสำเร็จคือมัธยมศึกษาตอนต้น คุณมีรายได้ในระดับปานกลางกลุ่มอาชีพของคุณคือแรงงานฝีมือ (เช่น หัวหน้างาน ช่างยนต์ ช่างพิมพ์ ช่างเย็บผ้า ช่างทำแม่พิมพ์ ช่างไฟฟ้า)ภาคส่วนการจ้างงานที่คุณทำงานอยู่คือธุรกิจเอกชนหรืออุตสาหกรรมคุณจัดตัวเองว่าเป็นชนชั้นแรงงานสถานภาพการสมรสปัจจุบันของคุณคือแต่งงานแล้วจำนวนบุตรที่คุณมี 3. นิกายทางศาสนาของคุณคือพุทธnanคุณพูดภาษาไทยที่บ้าน
2496,2020,417,KGZ,2310,ky,1,21,1,2310,6,0,3,2,0,-3,2,3,5,417001,Бул 2020-жыл. Сиздин курагыңыз 21. Сиз эркексиз. Сиз Кыргызстанда жашайсыз. Сиз жетишкен билимдин эң жогорку деңгээли - орто билимден кийинки билим. Сиздин киреше деңгээлиңиз жогору.Сиз эч качан жумушта иштеген эмессиз.Сиз иштеген тармак жөнүндө эч нерсе айта албайсыз же сиз эч качан иштеген эмессиз.Сиз өзүңүздү жогорку орто класска кирем деп эсептейсиз.Учурдагы нике абалыңыз бойдок.Сизде канча бала бар 0. Сиздин диний конфессияңыз мусулман.nanСиз үйдө кыргыз тилинде сүйлөйсүз.
2497,2020,716,ZWE,3830,sn,2,55,3,3830,1,4,1,1,0,-3,2,1,1,716006,Iri i 2020. Zera rako ndiro ripi? 55. Iwe uri mukadzi. Unogara muZimbabwe. Chikamu chepamusoro chedzidzo chawakapedza idzidzo yepuraimari. Une mari shoma yaunowana.Hauna kumbobvira wawana basa.Haugone kutaura chero chinhu nezve chikamu chako chebasa kana kuti hauna kumbobvira wawana basa.Unozvitsanangura semunhu ari muboka repamusoro-soro repakati.Chimiro chako chewanano parizvino chakaroora/chakaroorwa.Huwandu hwevana vaunavo 4. Chitendero chako iRoman Catholic.nanUnotaura mutauro wechiShona kumba.
2498,2020,364,IRN,3490,fa,2,19,1,3490,6,0,5,3,0,-3,3,2,5,364001,سال ۲۰۲۰ است. سن شما چند است؟ 19. شما یک زن هستید. شما در ایران زندگی می‌کنید. بالاترین سطح تحصیلاتی که به دست آورده‌اید، آموزش عالی کوتاه‌مدت است. شما دارای سطح درآمد متوسطی هستید.شما هرگز شغلی نداشتید.شما نمی‌توانید درباره بخش شغلی خود چیزی بگویید یا هرگز شغلی نداشته‌اید.شما خود را به عنوان طبقه متوسط پایین طبقه‌بندی می‌کنید.وضعیت تأهل فعلی شما مجرد است.تعداد فرزندان شما چند نفر است؟ 0. فرقه مذهبی شما مسلمان است.nanشما در خانه به زبان فارسی صحبت می‌کنید.
2499,2018,818,EGY,170,ar,1,60,3,170,1,0,0,1,8,2,5,2,5,-1,إنه عام 2018. عمرك هو 60. أنت رجل. أنت تعيش في مصر. أعلى مستوى تعليمي حققته هو تعليم الطفولة المبكرة / لا يوجد تعليم. لديك مستوى دخل متوسط.مجموعتك المهنية هي عامل غير ماهر (على سبيل المثال: عامل، حمّال، عامل مصنع غير ماهر، منظف).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.وضعك الاجتماعي الحالي هو متزوج.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.Noneأنت تتحدث اللغة العربية في المنزل.
2500,2018,360,IDN,1890,id,1,28,1,1890,6,0,2,1,4,2,3,3,5,360012,"Ini tahun 2018. Usia Anda adalah 28. Anda adalah seorang pria. Anda tinggal di Indonesia. Tingkat pendidikan tertinggi yang telah Anda capai adalah pendidikan menengah pertama. Anda memiliki tingkat pendapatan yang tinggi.Kelompok pekerjaan Anda adalah penjualan (misalnya: manajer penjualan, pemilik toko, asisten toko, agen asuransi, pembeli).Sektor pekerjaan Anda adalah bisnis atau industri swasta.Anda mengklasifikasikan diri Anda sebagai bagian dari kelas menengah ke bawah.Status pernikahan Anda saat ini adalah lajang.Jumlah anak yang Anda miliki 0. Denominasi agama Anda adalah Muslim.nanAnda berbicara bahasa Indonesia di rumah."
2501,2018,604,PER,1270,es,1,43,2,1270,1,2,4,2,4,2,3,2,1,604001,"Es 2018. Tu edad es 43. Eres un hombre. Vives en Perú. El nivel más alto de educación que has alcanzado es educación postsecundaria no terciaria. Tienes un nivel de ingresos medio.Tu grupo ocupacional es ventas (por ejemplo: gerente de ventas, propietario de tienda, asistente de tienda, agente de seguros, comprador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es casado.El número de hijos que tienes 2. Tu denominación religiosa es católica romana.nanHablas español en casa."
2502,2020,762,TJK,4160,tg,1,63,3,4160,1,7,4,2,7,1,3,2,5,762001,"Ин соли 2020 аст. Сину соли шумо чанд аст? 63. Шумо мард ҳастед. Шумо дар Тоҷикистон зиндагӣ мекунед. Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти баъд аз миёнаи ғайритретӣ мебошад. Шумо сатҳи миёнаи даромад доред.Гурӯҳи касбии шумо коргари нимҳунарманд аст (масалан: хиштчин, ронандаи автобус, коргари консервхона, дуредгар, коргари металлҳои варақӣ, нонпаз).Сектори шуғле, ки шумо дар он кор мекунед, ҳукумат ё муассисаи давлатӣ мебошад.Шумо худро ба табақаи миёнаи поёнӣ мансуб медонед.Вазъи ҳозираи оилавии шумо оиладор аст.Шумораи фарзандоне, ки шумо доред 7. Мазҳаби динии шумо мусалмон аст.nanШумо дар хона бо забони тоҷикӣ гап мезанед."
2503,2018,792,TUR,4370,tr,1,35,2,-4,1,2,3,2,5,2,4,1,5,-5,"2018 yılı. Yaşınız 35. Sen bir adamsın. Türkiye'de yaşıyorsun. Elde ettiğiniz en yüksek eğitim seviyesi ortaöğretimdir. Gelir seviyeniz düşük.Meslek grubunuz hizmet sektörüdür (örneğin: restoran sahibi, polis memuru, garson, berber, bakıcı).Çalıştığınız istihdam sektörü özel iş veya sanayidir.""Kendinizi işçi sınıfına ait olarak sınıflandırıyorsunuz.""Mevcut medeni durumunuz evli.Sahip olduğunuz çocuk sayısı 2. Dini mezhebiniz Müslümandır.NoneEvde Türkçe konuşuyorsunuz."
2504,2022,826,GBR,1240,en,2,63,3,1240,6,-4,2,1,3,1,-4,2,0,826100,"It is 2022. Your age is 63. You are a woman. You live in Great Britain. The highest level of education you have achieved is lower secondary education You have a medium income level.Your occupational group is clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper).Sector of employment you work in is government or public institution.nanYour current marital status is single.The number of children you have -4. You do not belong to any religious denomination.Your racial belonging/ethnic group is English / Welsh / Scottish / Northern Irish / British.You speak English language at home."
2505,2020,320,GTM,1270,es,1,18,1,1270,6,0,3,2,3,-2,3,1,2,320005,"Es 2020. Tu edad es 18. Eres un hombre. Vives en Guatemala. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos bajo.Tu grupo ocupacional es administrativo (por ejemplo: secretario, oficinista, gerente de oficina, funcionario, contable).nanTe clasificas como perteneciente a la clase media baja.Su estado civil actual es soltero.El número de hijos que tienes 0. Tu denominación religiosa es protestante.nanHablas español en casa."
2506,2017,643,RUS,3630,ru,2,43,2,3630,3,1,4,2,7,2,4,1,3,643001,"Сейчас 2017 год. Ваш возраст - 43. Вы женщина. Вы живёте в Российской Федерации. Наивысший уровень образования, который вы достигли, - это послесреднее нетретичное образование. У вас низкий уровень дохода.Ваша профессиональная группа — полуквалифицированный работник (например: каменщик, водитель автобуса, рабочий консервного завода, плотник, жестянщик, пекарь).Сектор занятости, в котором вы работаете, - это частный бизнес или промышленность.Вы относите себя к рабочему классу.Ваше текущее семейное положение - разведён(а).Количество ваших детей 1. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
2507,2022,528,NLD,1190,nl,2,36,2,1190,2,4,4,2,3,-2,-1,1,0,528001,"Het is 2022. Uw leeftijd is 36. Jij bent een vrouw. Je woont in Nederland. Het hoogste opleidingsniveau dat u heeft behaald, is postsecundair niet-tertiair onderwijs. Je hebt een laag inkomensniveau.Uw beroepsgroep is administratief (bijvoorbeeld: secretaresse, klerk, kantoorbeheerder, ambtenaar, boekhouder).nannanUw huidige burgerlijke staat is samenwonen als gehuwd.Het aantal kinderen dat je hebt 4. Je behoort tot geen enkele religieuze denominatie.nan. "
2508,2020,496,MNG,3030,mn,1,42,2,3030,2,1,6,3,6,1,2,2,1,496001,"Энэ бол 2020 он. Таны нас бол 42. Та эрэгтэй хүн. Та Монголд амьдардаг. Таны эзэмшсэн боловсролын хамгийн өндөр түвшин нь бакалавр эсвэл түүнтэй дүйцэхүйц байна. Таны орлого дундаж түвшинд байна.Таны мэргэжлийн бүлэг бол ур чадвартай ажилчин (жишээлбэл: дархан, авто засварчин, хэвлэгч, оёдолчин, багаж хэрэгсэл болон хэвний мастер, цахилгаанчин) юм.Таны ажилладаг салбар нь засгийн газар эсвэл олон нийтийн байгууллага.Та өөрийгөө дундаас дээш давхаргад хамаардаг гэж ангилдаг.Таны одоогийн гэр бүлийн байдал нь гэрлэсэн мэт хамтран амьдарч байна.Таны хүүхдийн тоо 1. Таны шашны урсгал Ромын Католик.nanТа гэртээ монгол хэлээр ярьдаг."
2509,2020,762,TJK,4160,tg,1,36,2,4160,1,1,7,3,1,1,4,2,5,762001,"Ин соли 2020 аст. Сину соли шумо чанд аст? 36. Шумо мард ҳастед. Шумо дар Тоҷикистон зиндагӣ мекунед. Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, магистр ё баробар ба он аст. Шумо сатҳи миёнаи даромад доред.Гурӯҳи касбии шумо касбӣ ва техникӣ мебошад (масалан: духтур, омӯзгор, муҳандис, рассом, муҳосиб, ҳамшира).Сектори шуғле, ки шумо дар он кор мекунед, ҳукумат ё муассисаи давлатӣ мебошад.Шумо худро ба табақаи коргарон мансуб мешуморед.Вазъи ҳозираи оилавии шумо оиладор аст.Шумораи фарзандоне, ки шумо доред 1. Мазҳаби динии шумо мусалмон аст.nanШумо дар хона бо забони тоҷикӣ гап мезанед."
2510,2018,764,THA,4230,th,2,52,3,3234,1,2,1,1,6,-2,3,2,7,764001,มันคือปี 2018 อายุของคุณคือ 52. คุณเป็นผู้หญิง คุณอาศัยอยู่ในประเทศไทย ระดับการศึกษาสูงสุดที่คุณสำเร็จคือการศึกษาระดับประถมศึกษา คุณมีรายได้ในระดับปานกลางกลุ่มอาชีพของคุณคือแรงงานฝีมือ (เช่น หัวหน้างาน ช่างยนต์ ช่างพิมพ์ ช่างเย็บผ้า ช่างทำแม่พิมพ์ ช่างไฟฟ้า)nanคุณจัดตัวเองว่าอยู่ในชนชั้นกลางระดับล่างสถานภาพการสมรสปัจจุบันของคุณคือแต่งงานแล้วจำนวนบุตรที่คุณมี 2. นิกายทางศาสนาของคุณคือพุทธnanคุณพูดภาษาไทยที่บ้าน
2511,2020,417,KGZ,2310,ky,2,62,3,2310,5,1,7,3,3,1,2,3,5,417001,"Бул 2020-жыл. Сиздин курагыңыз 62. Сиз аялсыз. Сиз Кыргызстанда жашайсыз. Сиз жетишкен билимдин эң жогорку деңгээли магистр же ага барабар. Сиздин киреше деңгээлиңиз жогору.Сиздин кесиптик тобуңуз кеңсе кызматкерлери (мисалы: катчы, катчы кызматкер, кеңсе менеджери, мамлекеттик кызматкер, эсепчи).Сиз иштеген иш тармагы - өкмөт же мамлекеттик мекеме.Сиз өзүңүздү жогорку орто класска кирем деп эсептейсиз.Сиздин учурдагы үй-бүлөлүк абалыңыз жесир.Сизде канча бала бар 1. Сиздин диний конфессияңыз мусулман.nanСиз үйдө кыргыз тилинде сүйлөйсүз."
2512,2017,643,RUS,3630,ru,1,31,2,3630,1,2,2,1,8,1,4,2,3,643001,"Сейчас 2017 год. Ваш возраст - 31. Вы мужчина. Вы живёте в Российской Федерации. Наивысший уровень образования, который вы достигли, — это неполное среднее образование. У вас средний уровень дохода.Ваша профессиональная группа - неквалифицированный рабочий (например: разнорабочий, грузчик, неквалифицированный рабочий на фабрике, уборщик).Сектор занятости, в котором вы работаете, - это государственное или общественное учреждение.Вы относите себя к рабочему классу.Ваше текущее семейное положение — женат/замужем.Количество ваших детей 2. Ваше религиозное вероисповедание — православное (русское, греческое или другое).nanВы говорите на русском языке дома."
2513,2018,604,PER,1270,es,1,56,3,1270,1,6,5,3,7,2,4,2,1,604013,"Es 2018. Tu edad es 56. Eres un hombre. Vives en Perú. El nivel más alto de educación que has alcanzado es la educación terciaria de ciclo corto. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador semicalificado (por ejemplo: albañil, conductor de autobús, trabajador de conservera, carpintero, trabajador de chapa metálica, panadero).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase trabajadora.Su estado civil actual es casado.El número de hijos que tienes 6. Tu denominación religiosa es católica romana.nanHablas español en casa."
2514,2022,703,SVK,3890,sk,2,59,3,3890,1,0,3,2,5,1,4,2,1,703005,"Je rok 2022. Váš vek je 59. Si žena. Žijete na Slovensku. Najvyššia úroveň vzdelania, ktorú ste dosiahli, je vyššie sekundárne vzdelanie. Máte strednú úroveň príjmu.Vaša pracovná skupina je služby (napríklad: majiteľ reštaurácie, policajt, čašníčka, kaderník, opatrovateľ).Sektor zamestnania, v ktorom pracujete, je vláda alebo verejná inštitúcia.Považujete sa za príslušníka pracujúcej triedy.Váš súčasný rodinný stav je ženatý/vydatá.Počet detí, ktoré máte 0. Vaše náboženské vyznanie je rímskokatolícke.nanHovoríte doma po slovensky."
2515,2020,704,VNM,4470,vi,1,43,2,4470,1,2,3,2,8,2,4,1,0,704001,"Năm nay là năm 2020. Tuổi của bạn là 43. Bạn là một người đàn ông. Bạn sống ở Việt Nam. Trình độ học vấn cao nhất mà bạn đã đạt được là giáo dục trung học phổ thông. Bạn có mức thu nhập thấp.Nhóm nghề nghiệp của bạn là lao động phổ thông (ví dụ: công nhân, bốc vác, công nhân nhà máy không có tay nghề, nhân viên vệ sinh).Lĩnh vực việc làm của bạn là kinh doanh hoặc công nghiệp tư nhân.Bạn tự xếp mình vào tầng lớp lao động.Tình trạng hôn nhân hiện tại của bạn là đã kết hôn.Số lượng con cái bạn có 2. Bạn không thuộc về bất kỳ giáo phái tôn giáo nào.nanBạn nói tiếng Việt ở nhà."
2516,2020,762,TJK,4160,tg,1,50,3,4160,1,3,3,2,9,1,4,2,5,762001,"Ин соли 2020 аст. Сину соли шумо чанд аст? 50. Шумо мард ҳастед. Шумо дар Тоҷикистон зиндагӣ мекунед. Баландтарин сатҳи таҳсилоте, ки шумо ба даст овардаед, таҳсилоти миёнаи олӣ мебошад. Шумо сатҳи миёнаи даромад доред.Гурӯҳи касбии шумо коргари хоҷагӣ мебошад (масалан: коргари хоҷагӣ, ронандаи трактор).Сектори шуғле, ки шумо дар он кор мекунед, ҳукумат ё муассисаи давлатӣ мебошад.Шумо худро ба табақаи коргарон мансуб мешуморед.Вазъи ҳозираи оилавии шумо оиладор аст.Шумораи фарзандоне, ки шумо доред 3. Мазҳаби динии шумо мусалмон аст.nanШумо дар хона бо забони тоҷикӣ гап мезанед."
2517,2018,586,PAK,4420,ur,2,27,1,3540,1,5,0,1,9,-1,5,1,5,586001,یہ 2018 ہے۔ آپ کی عمر ہے 27. آپ ایک عورت ہیں۔ آپ پاکستان میں رہتے ہیں۔ آپ کی حاصل کردہ تعلیم کی سب سے اعلیٰ سطح ابتدائی بچپن کی تعلیم ہے / کوئی تعلیم نہیں۔ آپ کی آمدنی کی سطح کم ہے۔آپ کا پیشہ ور گروپ زرعی کارکن ہے (مثال کے طور پر: کھیت مزدور، ٹریکٹر ڈرائیور)۔nanآپ اپنے آپ کو نچلے طبقے سے تعلق رکھنے والا سمجھتے ہیں۔آپ کی موجودہ ازدواجی حیثیت شادی شدہ ہے۔آپ کے بچوں کی تعداد 5. آپ کا مذہبی فرقہ مسلمان ہے۔nanآپ گھر میں اردو زبان بولتے ہیں۔
2518,2018,344,HKG,790,zh,1,60,3,790,1,2,6,3,1,2,4,1,0,344001,这是2018年。 您的年龄是 60. 你是一个男人。 你住在香港。 您所获得的最高学历是学士或同等学历。 您的收入水平较低。您的职业类别是专业技术人员（例如：医生、教师、工程师、艺术家、会计师、护士）。您工作的就业领域是私营企业或工业。您将自己归类为工人阶级。您的当前婚姻状况是已婚。您有多少个孩子 2. 您不属于任何宗教教派。nan你在家说粤语。
