,language,lang,ALL_Q
33,Russian,ru,"Пожалуйста, ответьте по каждому из следующих утверждений, насколько вы согласны или не согласны с каждым из этих утверждений. Для этих вопросов 1 означает, что вы «совершенно не согласны», а 10 означает, что вы «совершенно согласны». Оценки от 1 до 5 означают, что вы скорее не согласны со следующим утверждением. Оценки от 6 до 10 означают, что вы скорее согласны со следующим утверждением. Вы бы оценили утверждение отметкой 5 или 6 баллов, если бы вы не считали, что утверждение является в точности согласным или несогласным.
Наука и технологии делают нашу жизнь здоровее, легче, комфортнее.
Благодаря науке и технологиям у нового поколения будет больше возможностей
Мы чрезмерно полагаемся на науку и недостаточно на веру
Одним из негативных последствий развития науки является то, что люди перестают различать добро и зло
Для моей повседневной жизни научные знания не нужны
Пожалуйста, ответьте по поводу каждого из следующих действий, считаете ли вы, что они всегда могут быть оправданы, никогда не могут быть оправданы или что-то среднее, используя эту шкалу:
Оценка 1 означает, что они никогда не могут быть оправданы, оценка 10 означает, что они всегда оправданы. Оценки от 1 до 5 означают, что вы считаете следующее утверждение необоснованным. Оценки от 6 до 10 означают, что вы считаете следующее утверждение обоснованным. Вы бы оценили это действие на 5 или 6 баллов, если бы не считали его точно оправданным или неоправдываемым.
Получение государственных пособий, на которые человек не имеет права
Проезд без оплаты в общественном транспорте
Кража чужой собственности
Неуплата налогов, если есть такая возможность
Получение взятки, используя служебное положение
Гомосексуализм
Проституция
Аборт
Развод
Сексуальные отношения до брака
Самоубийство
Эвтаназия
Если муж бьет жену
Если родители бьют детей
Насилие против других людей
Использование терроризма в политической, идеологической или религиозной борьбе
Случайные сексуальные связи"
34,Serbian,sr,"Molimo vas da odgovorite u vezi sa svakom od sledećih izjava koliko se slažete ili ne slažete sa svakom od njih. U ovim pitanjima 1 znači da se ""potpuno ne slažete"", a 10 znači da se ""potpuno slažete"". Ocene od 1 do 5 znače da se radije ne slažete sa sledećom izjavom. Ocene od 6 do 10 znače da se radije slažete sa sledećom izjavom. Ovu izjavu biste ocenili sa 5 ili 6 ako je ne biste smatrali potpuno prihvatljivom ili neprihvatljivom.
Nauka i tehnologija čine naše živote zdravijim, lakšim i udobnijim.
Buduće generacije će imati više prilika zahvaljujući nauci i tehnologiji
Previše zavisimo od nauke i nedovoljno od vere
Jedan od negativnih efekata nauke je da uništava shvatanja dobrog i lošeg.
Nije važno za svakodnevni život da poznajem nauku
Molimo vas da odgovorite u vezi sa svakom od sledećih radnji, da li mislite da uvek mogu biti opravdani, nikada ne mogu biti opravdani ili nešto između koristeći ovu skalu:
Ocena 1 znači da nikada ne mogu biti opravdani, Ocena 10 znači da su uvek opravdani. Ocene od 1 do 5 znače da sledeću izjavu smatrate neosnovanom. Ocene od 6 do 10 znače da smatrate da je sledeća izjava validna. Ovu radnju biste ocenili sa 5 ili 6 ako je ne biste smatrali tačno opravdanom ili neopravdanom.
Potraživanje od države beneficije koje Vam ne pripadaju
Neplaćanje karte u javnom prevozu
Krađa imovine
Utaja poreza ukoliko se ukaže prilika
Prihvatanje mita tokom obavljanja službenih poslova
Homoseksualnost
Prostitucija
Abortus
Razvod
Seks pre braka
Samoubistvo
Eutanazija
Da muškarac tuče svoju ženu
Da roditelji tuku svoju decu 
Nasilje nad drugima 
Terorizam kao političko, ideološko ili religiozno sredstvo
Neobavezni seks"
35,Shona (chiShona),sn,"Ndokumbira upindure pane chimwe nechimwe chezvirevo zvinotevera, kuti unobvumirana kana kusabvumirana zvakadii nechimwe chezvirevo izvi. Pamibvunzo iyi, 1 zvinoreva kuti ""haubvumirani zvachose"" uye gumi zvinoreva kuti ""unobvumirana zvachose."" Zviyero kubva pa1 kusvika pa5 zvinoreva kuti haubvumirani nechirevo chinotevera. Zviyero kubva pa6 kusvika pagumi zvinoreva kuti unobvumirana nechirevo chinotevera. Iwe unoyera chirevo ne5 kana 6 mapoinzi mamaki kana usingafungi kuti chirevo chinonyatsoenderana kana kuti chisingadiwe.
Science ne Technologyzvikuita kuti tive nehupenyu huneutano,hurinyore uye hwakapfava.
Nekuda kweScience ne Technology kuchave nemikana yakawanda kunezvizvarwa zvemangwana.
Tinovimba zvakanyanya nescience pane kutenda
Chinhu chakaipa chinokonzerwa nescience kuti vanhu vanoputsa pfungwadzekuziva chakanaka kana chakaipa
Hazvina kukosha kwandiri kuziva nezve science muhupenyu hwangu hwezuva nezuva.
Ndokumbira upindure nezve chimwe nechimwe chezviito zvinotevera, ungave uchifunga kuti zvinogona kururamiswa nguva dzose, hazvimbofa zvakapembedzwa, kana chimwe chinhu chiri pakati pekushandisa chikero ichi:
Muyero 1 unoreva kuti haumbofa wakaruramiswa, chiyero chegumi chinoreva kuti zvinotenderwa nguva dzose. Zviyero kubva pa1 kusvika pa5 zvinoreva kuti unofunga kuti chirevo chinotevera hachina kurongeka. Zviyero kubva pa6 kusvika pagumi zvinoreva kuti iwe unofunga kuti chirevo chinotevera chakakodzera. Iwe waizoyera chiitiko ne5 kana 6 mapoinzi mamaki kana usingafungi kuti chiito chacho chine zvikonzero chaizvo kana kuti hazviite.
Kutora ma benefiti ehuremende usina kodzero
Kusada kubhadhara
muchovha
Kuba midziyo
Kubiriridza pamitero kana wawana mukana
Munhu anogamuchira chiokomuhomwe mubasa rake
Chingochani 
Chipfambi 
Kubvisa nhumbu
Kurambana
Bonde musati mawanana 
Kuzviuraya
Kuzorodza murwere nerufu kuti asaramba achirwadziwa
Murume kurova mukadzi wake
Vabereki kurova vana
Mhirizhonga nevamwe vanhu
Kushungurudza vanhu senzira yekuita nayo
Kuita bonde nemunhu wausingadanane naye "
36,Slovak,sk,"Pri každom z nasledujúcich tvrdení odpovedzte, do akej miery súhlasíte alebo nesúhlasíte s každým z týchto tvrdení. Pri týchto otázkach 1 znamená, že „úplne nesúhlasíte“ a 10 znamená, že „úplne súhlasíte“. Hodnotenia od 1 do 5 znamenajú, že s nasledujúcim tvrdením skôr nesúhlasíte. Hodnotenia od 6 do 10 znamenajú, že skôr súhlasíte s nasledujúcim tvrdením. Vyjadrenie by ste ohodnotili známkou 5 alebo 6 bodov, ak si nemyslíte, že je presne príjemné alebo nesúhlasné.
Veda a technológie robia náš život zdravším, jednoduchším a pohodlnejším.
Vďaka vede a technológiám bude mať ďalšia generácia viac príležitostí
Príliš sa spoliehame na vedu a málo na vieru.
Jedným zo zlých účinkov vedy je, že rozbíja ľudské predstavy o tom, čo je správne a čo nie
Nie je pre mňa dôležité vedieť o vede v každodennom živote.
Odpovedzte prosím na každú z nasledujúcich akcií, či už si myslíte, že to môže byť vždy odôvodnené, nikdy nemôže byť odôvodnené, alebo niečo medzi použitím tejto stupnice:
Hodnotenie 1 znamená nikdy ospravedlniteľné, hodnotenie 10 znamená vždy ospravedlniteľné. Hodnotenia od 1 do 5 znamenajú, že si myslíte, že nasledujúce tvrdenie je dosť neospravedlniteľné. Hodnotenia od 6 do 10 znamenajú, že si myslíte, že nasledujúce tvrdenie je dosť opodstatnené. Akciu by ste ohodnotili značkou 5 alebo 6 bodov, ak si myslíte, že akcia nie je presne ospravedlniteľná alebo neospravedlniteľná.
Požiadať o štátne dávky, na ktoré nemáte nárok
Vyhnúť sa plateniu cestovného vo verejnej doprave
Krádež majetku
Daňový podvod, ak máte možnosť
Prijať úplatok pri plnení svojej práce 
Homosexualita
Prostitúcia
Potrat
Rozvod
Sex pred manželstvom
Samovražda 
Eutanázia
Muž bijúci svoju ženu
Rodičia bijúci svoje deti
Násilie páchané na iných ľuďoch
Terorizmus ako politický, ideologický alebo náboženský
prostriedok
Príležitostný sex"
37,Spanish (Castilian),es,"Responda sobre cada una de las siguientes afirmaciones, cuánto está de acuerdo o en desacuerdo con cada una de estas afirmaciones. Para estas preguntas, un 1 significa que ""estás completamente en desacuerdo"" y un 10 significa que ""estás completamente de acuerdo.""Las calificaciones del 1 al 5 significan que no estás de acuerdo con la siguiente afirmación .  Las calificaciones del 6 al 10 significan que prefiere estar de acuerdo con la siguiente afirmación. Calificaría la declaración con una puntuación de 5 o 6 puntos si no cree que la declaración sea exactamente agradable o desagradable.
La ciencia y la tecnología están haciendo que nuestras vidas sean más sanas, más fáciles y más confortables.
La próxima generación tendrá más oportunidades gracias a la ciencia y la tecnología.
Dependemos demasiado de la ciencia y no lo suficiente de la fé.
Una de las malas consecuencias de la ciencia es que hace que la gente pierda su idea del bien y del mal. 
Para mí no es importante saber sobre la ciencia en mi vida diaria.
Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.
Reclamar beneficios del Estado a los que no se tiene derecho
Evitar pagar el billete en algún transporte público 
Robar
Engañar en el pago de impuestos, si se puede
Que alguien acepte un soborno en el cumplimiento de sus
funciones
La homosexualidad
La prostitución
El aborto
El divorcio
Relaciones sexuales antes del matrimonio
El suicidio
La eutanasia
Que un hombre maltrate a su esposa
Que los padres peguen a sus hijos
La violencia contra otros
El terrorismo como medio político, ideológico o religioso
Tener una relación sexual casual"
38,Swahili,sw,"Tafadhali jibu kuhusu kila moja ya taarifa zifuatazo, ni kiasi gani unakubaliana au haukubaliani na kila moja ya taarifa hizi. Kwa maswali haya, 1 inamaanisha kuwa ""haukubaliani kabisa ""na 10 inamaanisha kuwa"" unakubali kabisa.""Ukadiriaji kutoka 1 hadi 5 unamaanisha kuwa haukubaliani na taarifa ifuatayo. Ukadiriaji kutoka 6 hadi 10 unamaanisha kuwa unakubaliana na taarifa ifuatayo. Ungekadiria taarifa hiyo na alama ya alama 5 au 6 ikiwa haufikiri taarifa hiyo inakubalika au haikubaliki.
Sayansi na teknologiaa zinfanya maisha yetu kuwa na afya bora,rahisi,na Zaidi. 
Kwa sababu ya sayansi na teknolojia, kutakuwa na fursa zaidi kwa kizazi kijacho.
Tunategemea sana sayansi na haitoshi juu ya Imani.
Moja ya athari mbaya za sayansi ni kwamba inavunja maoni ya watu juu ya mema na mabaya.
Sio muhimu kwangu kujua kuhusu sayansi katika maisha yangu ya 
kila siku.
Tafadhali jibu juu ya kila moja ya vitendo vifuatavyo, ikiwa unafikiria inaweza kuhesabiwa haki kila wakati, haiwezi kuhesabiwa haki, au kitu kati ya kutumia kiwango hiki:
Ukadiriaji 1 unamaanisha kamwe kuhalalishwa, ukadiriaji 10 unamaanisha kuhalalishwa kila wakati. Ukadiriaji kutoka 1 hadi 5 unamaanisha kuwa unafikiri taarifa ifuatayo haiwezi kuhalalishwa. Ukadiriaji kutoka 6 hadi 10 unamaanisha kuwa unafikiri taarifa ifuatayo ni ya haki. Ungepima hatua hiyo na alama ya alama 5 au 6 ikiwa haufikiri hatua hiyo ni sawa au haiwezi kuhesabiwa haki.
Kudai faida za serikali ambazo hustahili 
Kuepuka nauli kwenye usafiri wa umma
kuiba mali 
Kudanganya kulipa ushuru ukiwa na 
nafasi  
kupokea rushua wakati 
wa majukumu yao 
ushoga
uzinzi
utoaji mimba
talaka
ngona kabla ndoa
kujiua 
Euthanasia
kupiga 
mkewe
mzazi kupiga 
mtoto 
ukatili 
dhidi ya watu wengine
ugaidi kama maana ya kisiasa,kiitikadi au kidini
kushiriki katika ngono kwa njia ya kawaida"
39,Tajik,tg,"Лутфан дар бораи ҳар як изҳороти зерин ҷавоб диҳед, то чӣ андоза шумо бо ҳар яке аз ин изҳорот розӣ ҳастед ё розӣ нестед. Барои ин саволҳо, 1 маънои онро дорад, ки шумо ""комилан розӣ нестед"" ва 10 маънои ""комилан розӣ ҳастед"". Рейтингҳо аз 1 то 5 маънои онро доранд, ки шумо бо изҳороти зерин розӣ нестед. Рейтингҳо аз 6 то 10 маънои онро доранд, ки шумо бо изҳороти зерин розӣ ҳастед. Шумо изҳоротро бо 5 ё 6 хол баҳо медиҳед, агар шумо фикр накунед, ки изҳорот комилан мувофиқ ё норозӣ аст.
Илм ва технология ҳаёти моро бештар сиҳатманд, сабук ва бароҳат менамоянд
Илм ва технология барои наслҳои оянда имкониятҳои бештаре хоҳанд дод
Мо аз ҳад зиёд аз илм вобастагӣ дорем ва аз имон ба таври кофӣ не
Яке аз оқибатҳои манфии илм дар он аст, ки он андешаҳои мардумро дар бораи некиву бадӣ вайрон мекунад
Донистани илм дар ҳаёти ҳаррӯзаи ман барои ман муҳим нест
Лутфан дар бораи ҳар яке аз инҳо ҷавоб диҳед, ки ое шумо фикр мекунед, ки онҳо ҳамеша метавонанд сафед карда шаванд, ҳеҷ гоҳ сафед карда намешаванд е чизе дар байни истифодаи ин миқес:
Холи 1 маънои онро дорад, ки онҳо ҳеҷ гоҳ сафед карда намешаванд, холи 10 маънои онро дорад, ки онҳо ҳамеша сафед карда мешаванд. Холҳои аз 1 то 5 маънои онро доранд, ки шумо изҳороти зеринро беасос меҳисобед. Холҳои аз 6 то 10 маънои онро доранд, ки шумо изҳороти зеринро асоснок мешуморед. Шумо ин амалро 5 е 6 баҳо медиҳед, агар шумо онро дуруст е беасос ҳисоб накунед.
Гирифтани ҷубронпулиҳои/кӯмаки давлатӣ, ки шумо ба он ҳуқуқ надоред
Худдорӣ намудан аз пардохт дар нақлиёти ҷамъиятӣ
Дуздии амволи
Напардохтани андоз, агар шумо имконият дошта бошед
Гирифтани ришва ҳангоми иҷрои вазифаҳои худ 
-
Фоҳишагӣ
Исқоти ҳамл
Ҷудошавӣ
Алоқаи ҷинсӣ пеш аз издивоҷ
Худкушӣ
Эвтаназия
Зуроварии мард нисбати зан
Волидайн кӯдаконро латукӯб мекунанд
Зӯроварӣ нисбат ба одамони дигар 
Терроризм ҳамчун воситаи сиёсӣ, идеологӣ ё мазҳабӣ
Алоқаи ҷинсии тасодуфӣ доштан"
40,Tausug,tsg,"Pakijawab ha kātān sin sumūsun na mga pangungudji, pila in pagtūngud mu o pagtimbang mu ha hula' sin hula' ini. Ha kātān ini, 1 in ibig sabihin ""lubus kaw di' magtūngud"" iban 10 in ibig sabihin ""lubus kaw magtūngud."" Mga marka hantang 1 hantang 5 in ibig sabihin kaw mas di' magtūngud ha pangungudji. Mga marka hantang 6 hantang 10 in ibig sabihin kaw mas magtūngud ha pangungudji. Kāmu magmarka sin 5 o 6 ha pangungudji kung kaw di' lubus magtūngud o di' lubus di' magtūngud.
Hihinang sin sensiya iban teknolohiya in kabuhi natuh in mas marayaw, maluhay iban mas matanam.
Pasal sin siyensya iban teknolohiya, mataud dumatung opportunidad ha mga susungun.
Malaggu in pag huwat-huway tah ha siyensiya iban bkun jukup in pagkahagarun.
In hambuuk mangi epekto sin siyensiya amun ngi ngih niya in pag kahagarun sin tau ha marayaw iban mangi.
Bukun mahalga para kaku in imingat ha siyensiya ha pang adlaw adlaw kabuhi ko.
Mangayu kaw duwaan ha hula' sin mga aksiun ini, kung kaw maghuna-huna na siya makasasaddat pa gihapon, di' makasasaddat, o ada ha tunga-tunga. Gamitun in iskala ini: Rating 1 ibig sabihin di' makasasaddat pa gihapon, rating 10 ibig sabihin makasasaddat pa gihapon. Mga rating 1 hanggang 5 ibig sabihin kaw maghuna-huna na in kasambungan di' makasasaddat pa gihapon. Mga rating 6 hanggang 10 ibig sabihin kaw maghuna-huna na in kasambungan makasasaddat pa gihapon. Ikaw tingubangan sin sakti' katan 5 kaw 6 kung ika wala' mabtii kung tais kawa ha tudju sin katuman kawa ha paingaan
Pag akuh sin benepisyo din parintah sin dih mo subay matabuk
Dih pag bayad sukay ha mga pagpapasaheruhan
Pag takaw sin mga ka alta altaan
Pagdupang ha pagbayad sin buwis pag awun waktu mo 
Pagtabuk suhul para ha mga ginis ha hinangan 
Mahinang bantut atawa tomboy
Putah
Pagpulak sin bata
Pag bugit
Paghulid atawa mag usal way pa natiyaun 
Pag patay sin baran/pagbugtuh sin napas 
Pag patay ha tau dih na kaulian 
Pagbinasa sin maas ha anak
Paghinang mangi ha dugaing tau
Paghinang mangi ha dugaing tau
Terorismo amuin uasalun, 
parintah, ideolohikal, iban ha 
agama
Akkal ha paghulid"
41,Thai (Central Thai),th,"โปรดตอบคำถามเกี่ยวกับข้อความแต่ละข้อต่อไปนี้ ว่าคุณเห็นด้วยหรือไม่เห็นด้วยกับข้อความแต่ละข้อมากน้อยเพียงใด สำหรับคำถามเหล่านี้ คะแนน 1 หมายถึงคุณไม่เห็นด้วยอย่างยิ่ง และคะแนน 10 หมายถึงคุณเห็นด้วยอย่างยิ่ง คะแนนตั้งแต่ 1 ถึง 5 หมายถึงคุณค่อนข้างไม่เห็นด้วยกับข้อความต่อไปนี้ คะแนนตั้งแต่ 6 ถึง 10 หมายถึงคุณค่อนข้างเห็นด้วยกับข้อความต่อไปนี้ หากคุณคิดว่าข้อความดังกล่าวไม่น่าเห็นด้วยหรือไม่เห็นด้วยอย่างยิ่ง คุณควรให้คะแนนข้อความดังกล่าว 5 หรือ 6 คะแนน
ทยาศาสตร์และเทคโนโลยีก าลังท าให้ ชีวิตของเรามีสุขภาพดีขึ้น ง่ายขึ้น และ สะดวกสบายมากขึ้น
เพราะวิทยาศาสตร์และเทคโนโลยี โอกาส ส าหรับคนรุ่นต่อไปจึงมีมากขึ้น
เราพึ่งพาวิทยาศาสตร์มากเกินไปแต่พึ่ง ศาสนาไม่มากพอ
ผลกระทบ ด้ าน ลบป ระการหนึ่งของ วิทยาศาสตร์คือท าลายส านึกผิดชอบชั่วด
ไม่จ าเป็นต้องรู้เกี่ยวกับวิทยาศาสตร์เพื่อ การด ารงชีวิตในแต่ละวัน
โปรดตอบเกี่ยวกับการกระทำต่อไปนี้แต่ละอย่างไม่ว่าคุณจะคิดว่ามันสามารถเป็นธรรมเสมอไม่สามารถเป็นธรรมหรือบางสิ่งบางอย่างในระหว่างการใช้สเกลนี้:
การจัดอันดับ 1 หมายถึงไม่เคยสมเหตุสมผล 10 หมายถึงสมเหตุสมผลเสมอ การจัดอันดับจาก 1-5 หมายความว่าคุณคิดว่าคำสั่งต่อไปนี้ค่อนข้างไม่สมเหตุสมผล การจัดอันดับจาก 6-10 หมายความว่าคุณคิดว่าคำสั่งต่อไปนี้ค่อนข้างสมเหตุสมผล คุณจะให้คะแนนการดำเนินการที่มีเครื่องหมาย 5 หรือ 6 จุดถ้าคุณไม่คิดว่าการกระทำเป็นสิ่ง
อ้างผลประโยชน์ของรัฐบาลในสิ่งที่ท่านไม่มีสิทธ
เลี่ยงจ่ายค่ารถสาธารณะ
ขโมยของ
โกงภาษีหากมีโอกาส
คนที่รับสินบนในการปฏิบัติหน้าที่
รักร่วมเพศ
การค้าประเวณี
การแท้ง
การหย่าร้าง
เซ็กส์ก่อนแต่งงาน
ฆ่าตัวตาย
การท าให้ตายโดยไม่เจ็บปวด
ผู้ชายที่ทุบตีภรรยา
พ่อแม่ที่ทุบตีลูก
ความรุนแรงต่อบุคคลอื่น
การก่อการร้ายโดยใช้วิธีทางการเมือง ทางความ เชื่อในลัทธิและความเชื่อทางศาสนา
มีลำบากเซ็กส์"
42,Tigre,tig,"በጃኻ ምላሽ ኣብቲ ትእዛዝታት ትቕመጥ ከምዚ እንታይ ደለየኻ፡ ምስ እዚ ትእዛዝታት እንታይ ከም ዝስምዖ ወይ ከም ዝዘርግእ እትውዕል። ንእዚ ሕቶታት፡ 1 ምንባር “ብሙሉእ ክልተይ ዝብል” ዲልዩ፡ 10 ደር፡ ምንባር “ብሙሉእ ይስምዖ” ዲልዩ። ምስ ደረጃ ካብ 1 ክሳብ 5 ይኹን ምስ እዚ ትእዛዝታት ዝዘርግእ እዩ ይምልስ። ምስ ደረጃ ካብ 6 ክሳብ 10 ይኹን ምስ እዚ ትእዛዝታት ዝስምዖ እዩ ይምልስ። እንተ ትእዛዝታት ኣዝዩ ብሙሉእ ክልተይ ወይ ብሙሉእ ይስምዖ ዘይበሃል እትምስላ፡ ብ 5 ወይ 6 ምስ እዚ ምስማዕ ትኽእል።
ሳይንስን ቴክኖሎጂን ሂወትና ጥዕና ዘለዎ፣ ቅልል ዝበለን በጣዕሚ ምችውን ገይሮምዎ፡፡
ብሳይንስን ቴክኖሎጂን ምኽንያት፣ ንቀፃላይ ትውልዲ ብጣዕሚ ብዙሓት ዕድላት ክህልዎ እዩ 
ኣብ ሳይንስ ብጣዕሚ ኢና ንተኣማመን፣ ኣብ እምነት ግን ክሳብ ክንድዚ ኣይኮነን
ሓደ ካብቶም ሕማቕ ጉድኣታት ናይ ሳይንስ ናይ ሰባት ሓሳበት ኣብ ልክዕን ጌጋን ዝብል ምኽፋሉ እዩ 
ኣብ ናይ ዕለታዊ ሂወተይ ብዛዕባ ሳይንስ ምፍላጥ ንዓይ ኣገዳሲ/ኣድላይ ኣይኮነን
ኵሉ ሳዕ ብቑዕ ኪኸውን ዚኽእል ኰይኑ ይስምዓካ ኣይስምዓካ ብዘየገድስ ወይ ኣብ መንጎ እዚ ስፍሓት እዚ ምጥቃም ዘሎ ነገር በጃኻ መልሲ ግበር።
1 ደረጃ ኺበሃል ከሎ ፈጺምካ ብቑዕ ማለት እዩ ፣ 10 ደረጃ ኺበሃል ከሎ ወትሩ ብቑዕ እዩ ማለት እዩ ። ካብ 1 ኽሳዕ 5 እተዋህበ ነጥቢ እዚ ዚስዕብ ሓሳብ መሰረት ዘይብሉ ዀይኑ ኸም ዚስምዓካ ዚሕብር እዩ ። ካብ 6 ኽሳዕ 10 እተዋህበ ነጥቢ እዚ ዚስዕብ ሓሳብ ብቑዕ ኰይኑ ኸም ዚስምዓካ ዚሕብር እዩ። እቲ ተግባር ቅኑዕ ወይ ቅኑዕ ከም ዘይኰነ ጌርካ እንተ ዘይሓሲብካ ነቲ ተግባር ብ5 ወይ 6 ነጥብታት ጌርካ ምገምገምካዮ።
ዘይግብኣካ ናይ መንግስቲ ጥቕማጥቕሚ ምሕታት
ኣብ ህዝባዊ መጓዓዚያ ናይ መጓዓዓዚ ዋጋ ዘይምኽፋል
ንብረት ምስራቕ/መጉሓል 
ዕድል እንተረኺብካ/ኪ ግብሪ ምጭብርባር
ግብኦም እናፈፀሙ እናሃለዉ ሓደ ጉቦ ዝቕበል
ግብረ ሶዶማዊነት
ኣመንዝራነት
ምውራድ ጥንሲ
ፍትሕ
ምፍፃም ወሲብ ቅድመ መርዓ
ዓርሰ ቅትለት
a ካብ ሞት ዘይድሕን ሰብ ካብ ቃንዛ ንምግልጋል ምቕታል
ሰብኣይ ሰበይቱ ክሃርም/ክወቅዕ 
n ወለዲ ንደቆም ክሃርሙ/ክወቕዑ
ኣብ ካልኦት ሰባት ናይ ጉልበት ጥቕዓት ምፍፃም
ግብረ ራዕዲ ከም ፖለቲካዊ፣ ርዕየተዓለማዊ ወይ ሃይማኖታዊ መንገዲ
ግዝያዊ/ቅጥዒ ዘይብሉ ወሲብ ምፍፃም"
43,Turkish,tr,"Lütfen aşağıdaki ifadelerin her biri hakkında, bu ifadelerin her birine ne kadar katıldığınızı veya katılmadığınızı yanıtlayın. Bu sorular için 1, “tamamen katılmadığınız” ve 10, “tamamen katıldığınız"" anlamına gelir.” 1'den 5'e kadar olan derecelendirmeler, aşağıdaki ifadeye katılmadığınız anlamına gelir. 6'dan 10'a kadar olan derecelendirmeler, aşağıdaki ifadeye katılmayı tercih ettiğiniz anlamına gelir. İfadenin tam olarak kabul edilebilir veya kabul edilemez olduğunu düşünmüyorsanız, ifadeyi 5 veya 6 puanla derecelendirirsiniz.
Bilim ve teknoloji, yaşamlarımızı daha sağlıklı, daha kolay ve rahat yapmakta
Bilim ve teknoloji sayesinde, gelecek kuşaklar daha fazla imkân ve fırsata sahip olacak
Bilime gereğinden fazla, imana ise gereğinden az güveniyoruz.
Bilimin kötü etkilerinden biri de, insanlardaki doğru ve yanlış anlayışını zedelemesidir.
Günlük yaşamımda, bana bilim hakkında bilgi gerekmez.

Lütfen, her zaman haklı gösterilebileceğini, asla haklı gösterilemeyeceğini veya bu ölçeği kullanmak arasında bir şey olup olmadığını düşünüyorsanız, aşağıdaki eylemlerin her biri hakkında yanıt verin: 1. Derece asla haklı gösterilemez, 10. derece her zaman haklı gösterilebilir anlamına gelir. 1'den 5'e kadar olan derecelendirmeler, aşağıdaki ifadenin oldukça haksız olduğunu düşündüğünüz anlamına gelir. 6'dan 10'a kadar olan derecelendirmeler, aşağıdaki ifadenin oldukça haklı olduğunu düşündüğünüz anlamına gelir. Eylemin tam olarak haklı veya haksız olduğunu düşünmüyorsanız, eylemi 5 veya 6 puanlık bir işaretle değerlendirirsiniz.
Devlet
imkânlarından hakkı
olmadan yararlanmak
Toplu taşıma
araçlarına biletsiz
binmek
Başkasının
malını çalmak 
Fırsatını
bulduğunda vergi
kaçırmak
Rüşvet almak 
Eşcinsellik
Fahişelik
Kürtaj
Boşanmak
Evlenmeden önce ilişkiye girmek
. İntihar etmek
Ötenazi yani
hayatından kesin umut
kesilen bir hastayı daha
çok ızdırap çekmemesi
için öldürmek
Erkeğin karısını
dövmesi 
Anne-babanın
çocuğunu dövmesi 
Başka insanlara
karşı şiddete
başvurmak
Günlük aşk
ilişkileri kurma 
Günlük aşk ilişkileri kurma"
44,Ukrainian,uk,"Будь ласка, дайте відповідь щодо кожного з наступних тверджень, наскільки ви згодні чи ні з кожним із цих тверджень. Для цих запитань 1 означає, що ви «зовсім не згодні», а 10 означає, що ви «повністю згодні». Оцінки від 1 до 5 означають, що ви швидше не згодні з наступним твердженням. Оцінки від 6 до 10 означають, що ви швидше згодні з наступним твердженням. Ви б оцінили це твердження на 5 або 6 балів, якщо не вважаєте його цілком прийнятним або неприйнятним.
Наука те технології роблять наше життя здоровішим, легкішим, комфортнішим
Завдяки науці та технологіям для наступних поколінь виникає більше можливостей
Ми занадто залежимо від науки і не маємо достатньої віри
Одним із неготивних наслідків розвитку науки є те, вона руйнує ідеї людей щодо того що є правильним і неприльним
Для мого повсякденного життя мені не потрібні наукові знання
Будь ласка, дайте відповідь щодо кожного з наступних дій, чи вважаєте ви, що вони завжди можуть бути виправдані, ніколи не можуть бути виправдані або щось середнє, використовуючи цю шкалу:
Оцінка 1 означає, що вони ніколи не можуть бути виправдані, оцінка 10 означає, що вони завжди виправдані. Оцінки від 1 до 5 означають, що ви вважаєте наступне твердження необґрунтованим. Оцінки від 6 до 10 означають, що ви вважаєте наступне твердження обґрунтованим. Ви б оцінили цю дію на 5 або 6 балів, якби не вважали її точно виправданою або невиправданою.
Отримання державної допомоги, на яку Ви не маєте права
Проїзд без сплати у громадському транспорті
Крадіжка чужого майна
Несплата податків, якщо є така можливість
Отримання хабара, використовуючи службове становище
Гомосексуалізм
Проституція
Аборт 
Розлучення
Сексуальні відносини до шлюбу
Самогубство
Евтаназія (добровільний ухід з життя невиліковно хворої людини)
Якщо чоловік б'є свою дружини
Якщо батьки б'ють дітей 
Насильство проти інших людей
Тероризм як політичний, ідеологічний та релігійний засіб
Випадкові статеві стосунки"
